Model,Rating,LastMonth,MRP,Discount,Discount%,Revenue,PriceSegment,Brand
Unknown,4.0,400.0,62417,50240,19.51,20096000.0,Mid-Range,unknown
Lenovo IdeaPad,3.9,300.0,70790,49990,29.38,14997000.0,Mid-Range,lenovo
Lenovo V14,5.0,50.0,65000,44988,30.79,2249400.0,Mid-Range,lenovo
Acer ALG,4.0,50.0,74999,63999,14.67,3199950.0,Premium,acer
ACER One,5.0,50.0,39999,22990,42.52,1149500.0,Budget,acer
Lenovo V15,3.4,100.0,90000,48490,46.12,4849000.0,Mid-Range,lenovo
ASUS Vivobook,3.9,500.0,69990,53990,22.86,26995000.0,Mid-Range,asus
Unknown,4.0,100.0,85000,33700,60.35,3370000.0,Mid-Range,unknown
HP 15s,4.1,500.0,50903,34990,31.26,17495000.0,Mid-Range,hp
Lenovo V15,4.6,50.0,60900,34990,42.55,1749500.0,Mid-Range,lenovo
HP 255,5.0,50.0,30336,22960,24.31,1148000.0,Budget,hp
Unknown,4.0,400.0,86890,64690,25.55,25876000.0,Premium,unknown
ASUS TUF,3.9,400.0,83990,64990,22.62,25996000.0,Premium,asus
Lenovo IdeaPad,4.0,100.0,38090,24990,34.39,2499000.0,Budget,lenovo
Primebook S,4.5,50.0,27990,15990,42.87,799500.0,Budget,primebook
Acer One,3.1,50.0,35999,17990,50.03,899500.0,Budget,acer
HP Laptop,4.1,200.0,49990,31350,37.29,6270000.0,Mid-Range,hp
Primebook S,4.5,50.0,27990,15990,42.87,799500.0,Budget,primebook
Lenovo IdeaPad,3.1,300.0,40290,24100,40.18,7230000.0,Budget,lenovo
HP 255,3.1,100.0,42369,29522,30.32,2952200.0,Budget,hp
ASUS Vivobook,4.0,200.0,50990,29990,41.18,5998000.0,Budget,asus
Lenovo V15,3.8,200.0,79000,21970,72.19,4394000.0,Budget,lenovo
Lenovo V15,3.0,50.0,50760,26490,47.81,1324500.0,Budget,lenovo
Unknown,4.0,100.0,38090,24990,34.39,2499000.0,Budget,unknown
Unknown,4.0,300.0,65387,44932,31.28,13479600.0,Mid-Range,unknown
Lenovo V15,4.0,100.0,38000,24980,34.26,2498000.0,Budget,lenovo
FUTOPIA Ultimus,3.7,50.0,24990,12990,48.02,649500.0,Budget,futopia
Lenovo V15,4.3,50.0,89990,21990,75.56,1099500.0,Budget,lenovo
ASUS Vivobook,3.9,500.0,69990,53990,22.86,26995000.0,Mid-Range,asus
ASUS TUF,3.9,400.0,83990,64990,22.62,25996000.0,Premium,asus
Walker Thin,3.5,100.0,30000,12990,56.7,1299000.0,Budget,walker
Lenovo V15,4.0,400.0,99999,42990,57.01,17196000.0,Mid-Range,lenovo
Unknown,3.8,100.0,53413,37990,28.87,3799000.0,Mid-Range,unknown
Unknown,4.0,500.0,58390,36990,36.65,18495000.0,Mid-Range,unknown
Unknown,4.0,400.0,62417,50240,19.51,20096000.0,Mid-Range,unknown
Walker Thin,3.5,100.0,30000,12990,56.7,1299000.0,Budget,walker
Acer Aspire,3.4,50.0,29990,21980,26.71,1099000.0,Budget,acer
HP 15s,4.1,100.0,38990,30999,20.49,3099900.0,Mid-Range,hp
Lenovo V15,4.0,400.0,99999,42990,57.01,17196000.0,Mid-Range,lenovo
HP Victus,4.1,200.0,72718,61499,15.43,12299800.0,Premium,hp
JioBook 11,3.0,200.0,25000,12990,48.04,2598000.0,Budget,jiobook
Acer Aspire,4.0,50.0,58999,33490,43.24,1674500.0,Mid-Range,acer
Unknown,3.8,100.0,65387,57990,11.31,5799000.0,Mid-Range,unknown
Samsung Galaxy,3.7,50.0,164990,97150,41.12,4857500.0,Premium,samsung
Lenovo IdeaPad,3.9,200.0,70090,49990,28.68,9998000.0,Mid-Range,lenovo
Lenovo V14,3.2,200.0,43990,39890,9.32,7978000.0,Mid-Range,lenovo
HP Victus,3.3,100.0,79990,64990,18.75,6499000.0,Premium,hp
ASUS ROG,2.5,50.0,251990,209990,16.67,10499500.0,Premium,asus
Lenovo IdeaPad,4.0,500.0,58390,36990,36.65,18495000.0,Mid-Range,lenovo
Acer Aspire,3.4,200.0,33999,23990,29.44,4798000.0,Budget,acer
Unknown,4.0,100.0,85000,33700,60.35,3370000.0,Mid-Range,unknown
Lenovo IdeaPad,4.0,500.0,58390,36990,36.65,18495000.0,Mid-Range,lenovo
Acer Aspire,3.4,50.0,31999,22980,28.19,1149000.0,Budget,acer
Walker Thin,3.5,100.0,30000,12990,56.7,1299000.0,Budget,walker
Lenovo V15,4.0,300.0,58500,40980,29.95,12294000.0,Mid-Range,lenovo
HP 15,4.0,400.0,62417,50240,19.51,20096000.0,Mid-Range,hp
HP 255,1.9,100.0,32342,23990,25.82,2399000.0,Budget,hp
ASUS Vivobook,3.9,300.0,60990,40990,32.79,12297000.0,Mid-Range,asus
Unknown,4.0,50.0,55190,34990,36.6,1749500.0,Mid-Range,unknown
Samsung Galaxy,4.0,200.0,82789,53200,35.74,10640000.0,Mid-Range,samsung
Lenovo IdeaPad,4.0,400.0,86890,64690,25.55,25876000.0,Premium,lenovo
Apple MacBook,4.5,500.0,149900,83990,43.97,41995000.0,Premium,apple
Lenovo LOQ,3.7,50.0,139290,99990,28.21,4999500.0,Premium,lenovo
MSI Stealth,4.0,50.0,229990,144645,37.11,7232250.0,Premium,msi
Acer Aspire,3.6,50.0,74999,52990,29.35,2649500.0,Mid-Range,acer
Unknown,3.5,50.0,39990,18990,52.51,949500.0,Budget,unknown
Unknown,4.0,100.0,56490,37380,33.83,3738000.0,Mid-Range,unknown
Acer Aspire,0.0,50.0,69990,51990,25.72,2599500.0,Mid-Range,acer
Lenovo V15,4.0,400.0,99999,42990,57.01,17196000.0,Mid-Range,lenovo
Acer Aspire,3.6,50.0,74999,52990,29.35,2649500.0,Mid-Range,acer
HP Laptop,3.3,50.0,32078,24890,22.41,1244500.0,Budget,hp
Acer Aspire,3.4,200.0,33999,23990,29.44,4798000.0,Budget,acer
Lenovo Legion,4.0,50.0,256790,197951,22.91,9897550.0,Premium,lenovo
ASUS Vivobook,3.4,50.0,85990,68990,19.77,3449500.0,Premium,asus
Unknown,3.8,100.0,53413,37990,28.87,3799000.0,Mid-Range,unknown
MSI Stealth,4.0,50.0,229990,144645,37.11,7232250.0,Premium,msi
HP 15s,4.1,100.0,60959,36990,39.32,3699000.0,Mid-Range,hp
Lenovo Legion,0.0,50.0,279890,200990,28.19,10049500.0,Premium,lenovo
HP 255,1.9,100.0,32342,23990,25.82,2399000.0,Budget,hp
Dell Inspiron,4.6,50.0,90999,64790,28.8,3239500.0,Premium,dell
Lenovo LOQ,3.7,50.0,139290,99990,28.21,4999500.0,Premium,lenovo
